"STATION_ID","DISTRICT","TOWS","SURVEY_YEAR","LATITUDE","LONGITUDE","STRATUM","TOTAL_AREA"
"E-09","Single",1,1980,56.33333,-162.8,15,128721
"L-03","Single",1,1980,58.66667,-166.56667,15,128721
"L-08","Single",1,1980,58.66667,-163.35,15,128721
"N-19","Single",1,1980,59.33333,-169.23333,15,128721
"O-18","Single",1,1982,59.66667,-168.61667,15,122305
"N-22","Single",1,1982,59.33333,-171.18333,15,122305
"H-06","Single",1,1981,57.33333,-164.61667,15,109072
"L-03","Single",1,1982,58.66667,-166.56667,15,122305
"C-07","Single",1,1983,55.66667,-164,15,114285
"M-06","Single",1,1983,59,-164.65,15,114285
"N-06","Single",1,1983,59.33333,-164.65,15,114285
"N-29","Single",1,1983,59.33333,-175.75,15,114285
"H-07","Single",1,1984,57.33333,-164,15,115087
"F-03","Single",1,1984,56.66667,-166.43333,15,115087
"M-21","Single",1,1985,59,-170.48333,15,114285
"P-29","Single",1,1985,60,-175.93333,15,114285
"N-27","Single",1,1984,59.33333,-174.45,15,115087
"M-20","Single",1,1986,59,-169.83333,15,114285
"J-07","Single",1,1986,58,-164,15,114285
"P-27","St. Matthew MTCA",1,1986,60,-174.6,17,7218
"Q-23","St. Matthew MTCA",1,1987,60.33333,-172.06667,17,7218
"F-20","Pribilof MTCA",1,1987,56.66667,-169.5,14,10025
"G-11","Single",1,1987,57,-161.56667,15,117894
"M-18","Single",1,1988,59,-168.53333,15,123107
"J-09","Single",1,1988,58,-162.75,15,123107
"C-03","Single",1,1988,55.66667,-166.38333,15,123107
"F-06","Single",1,1987,56.66667,-164.6,15,117894
"T-27","Single",1,1988,61.33333,-175,15,123107
"M-24","Single",1,1989,59,-172.43333,15,123107
"K-08","Single",1,1990,58.33333,-163.36667,15,123107
"H-06","Single",1,1990,57.33333,-164.61667,15,123107
"H-06","Single",1,1991,57.33333,-164.61667,15,123107
"J-06","Single",1,1991,58,-164.61667,15,123107
"L-28","Single",1,1991,58.66667,-174.9,15,123107
"Q-29","Single",1,1992,60.33333,-176.03333,15,115889
"J-14","Single",1,1993,58,-159.6,15,123107
"H-26","Single",1,1993,57.33333,-173.33333,15,123107
"GF2221","Pribilof MTCA",1,1993,56.83333,-170.48333,14,10025
"E-02","Single",1,1995,56.33333,-167.03333,15,123107
"QP2726","St. Matthew MTCA",1,2001,60.16667,-174.35,17,7218
"S-28","Single",1,2001,61,-175.55,15,123107
"P-26","St. Matthew MTCA",1,1995,60,-173.95,17,7218
"E-09","Single",1,1999,56.33333,-162.8,15,123107
"K-04","Single",1,1997,58.33333,-165.91667,15,123107
"I-19","Pribilof MTCA",1,1995,57.66667,-169.03333,14,10025
"Q-21","Single",1,1999,60.33333,-170.66667,15,123107
"O-31","Single",1,2001,59.66667,-177.15,15,123107
