year,Total_FA_Conc_WWT,Total_FA_Conc_DWT,vial_id,cruise,gis_station,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,process_date,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region,DWT_WWT,Perc_DWT,Total_FA,WWT_DWT
2019,114.65,424.66,2019-1,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,87.44,14.92,248.3,0.6304,0.1702,3/16/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.26998730964467005,26.998730964467004,424.64958871915394,3.7038777908343126
2019,76.71,348.44,2019-2,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,78.57,11.38,170.6,0.6854,0.1509,3/16/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.22016340822877153,22.016340822877154,348.4230218687872,4.54208084824387
2019,102.79,416.04,2019-3,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,75.87,11.99,151.8,0.7067,0.1746,3/16/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.24706381774444602,24.7063817744446,416.0463516609393,4.047537227949599
2019,NA,NA,2019-4,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,78.97,12.31,189.2,0.7634,0.1697,3/17/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.2222949960702122,22.229499607021218,NA,4.498526812021214
2019,NA,NA,2019-5,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,78.61,12.83,175.1,1.0278,0.2458,3/17/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.23915158591165595,23.915158591165593,NA,4.181448331977218
2019,NA,NA,2019-6,201901,V-27,0.013912080357285,170569.63941107484,162,193,1,80.11,13.21,NA,0.9814,0.2139,3/17/2021,0,61.99908,-175.17202,80,0.4,4,EBS,9,0.21795394334624005,21.795394334624003,NA,4.588125292192614
2019,101.91,365.09,2019-7,201901,V-27,0.013912080357285,170569.63941107484,162,193,1,83.34,13.34,NA,1.0267,0.2866,3/17/2021,0,61.99908,-175.17202,80,0.4,4,EBS,9,0.2791467809486705,27.91467809486705,365.07675157013256,3.5823447313328676
2019,NA,NA,2019-8,201901,V-27,0.013912080357285,170569.63941107484,162,193,1,78.86,13.02,190.5,1.0815,0.2794,3/17/2021,0,61.99908,-175.17202,80,0.4,4,EBS,9,0.2583448913546001,25.83448913546001,NA,3.8707945597709377
2019,NA,NA,2019-9,201901,V-27,0.013912080357285,170569.63941107484,162,193,1,87.42,14.75,NA,1.1223,0.2368,3/17/2021,0,61.99908,-175.17202,80,0.4,4,EBS,9,0.21099527755502093,21.09952775550209,NA,4.7394425675675675
2019,81.34,288.73,2019-10,201901,V-27,0.013912080357285,170569.63941107484,162,193,1,91.84,13.01,219.2,1.3592,0.3829,3/17/2021,0,61.99908,-175.17202,80,0.4,4,EBS,9,0.2817098293113596,28.170982931135963,288.73681901279707,3.549751893444763
2019,108.06,457.33,2019-11,201902,V-24,0.01412747210032455,570605.7752409088,94,1,1,55.53,7.92,67.8,1.1139,0.2632,3/18/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.23628691983122363,23.628691983122362,457.3253571428572,4.232142857142857
2019,108.44,421.87,2019-12,201901,N-31,0.0138915643311522,1511.708796748466,162,177,2,54.64,0,52.4,0.7629,0.1961,3/18/2021,0,59.32743,-177.05585,149,3.2,5,EBS,8,0.257045484336086,25.704548433608597,421.8708618052014,3.890362060173381
2019,56.01,319.03,2019-13,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,85.09,15.04,230.6,1.0088,0.1771,3/18/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.1755551149881047,17.555511498810468,319.0451044607566,5.696216826651608
2019,71.82,348.13,2019-14,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,93.94,13.48,224.8,0.9917,0.2046,3/19/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.20631239286074418,20.63123928607442,348.1128739002932,4.847018572825024
2019,79.34,418.11,2019-15,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,79.23,13.57,199.4,1.1415,0.2166,3/19/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.1897503285151117,18.97503285151117,418.1283933518006,5.270083102493075
2019,NA,NA,2019-16,201902,W-27,0.01495924640185965,67622.14170589813,162,1,1,80.69,14.25,208.7,0.9922,0.2586,3/19/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.2606329369078815,26.063293690788147,NA,3.836813611755607
2019,101.2,415.77,2019-17,201901,N-31,0.0138915643311522,1511.708796748466,162,177,2,53.46,0,50.8,1.0287,0.2504,3/19/2021,0,59.32743,-177.05585,149,3.2,5,EBS,8,0.24341401769223295,24.341401769223296,415.7525559105431,4.108226837060703
2019,NA,NA,2019-18,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,81.02,12.73,181.2,0.9145,0.0666,3/19/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.07282668124658284,7.282668124658284,NA,13.731231231231229
2019,81.4,295.95,2019-19,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,82.32,13.07,209.8,0.9893,0.2721,3/19/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.27504295966845244,27.504295966845245,295.95376699742746,3.6357956633590587
2019,NA,NA,2019-20,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,82.18,12.92,202.3,0.9261,0.0909,3/19/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.09815354713313897,9.815354713313896,NA,10.18811881188119
2019,17.97,174.23,2019-21,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,80.68,13.36,184.8,1.0241,0.1056,3/22/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.10311493018259936,10.311493018259936,174.2715625,9.697916666666666
2019,8.82,NA,2019-22,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,86.37,13.97,230.1,1.59,0.1385,3/22/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.08710691823899372,8.710691823899372,101.25487364620938,11.48014440433213
2019,NA,NA,2019-23,201901,PO2423,0.0145501203732786,272172.1311167171,94,159,1,85.96,14.03,235.4,0.9444,0.089,3/22/2021,0,59.83477,-172.24578,76,2.3,4,EBS,9,0.09423972892842016,9.423972892842016,NA,10.61123595505618
2019,8.45,82.03,2019-24,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,80.18,12.79,184.2,1.1797,0.1215,3/22/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.10299228617445114,10.299228617445113,82.0449794238683,9.70946502057613
2019,92.42,391.28,2019-25,201902,V-24,0.01412747210032455,570605.7752409088,94,1,1,70.77,10.17,126.9,1.0229,0.2416,3/22/2021,0,62.00723,-173.08002,58,0.8,7,NBS,10,0.23619122103822468,23.61912210382247,391.2931208609271,4.233857615894039
2019,6.06,80.52,2019-26,201901,PO2524,0.00989135557344,125795.09256962893,94,158,1,80.78,11.47,185.8,1.3577,0.1022,3/22/2021,0,59.83709,-172.89989,80,2.4,4,EBS,9,0.07527436105177875,7.527436105177874,80.5054990215264,13.284735812133071
2019,103.42,338.9,2019-27,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,50.89,0,41.4,0.7042,0.2149,3/22/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.305168986083499,30.5168986083499,338.8942019543974,3.2768729641693812
2019,64.85,272.18,2019-28,201901,R-22,0.0141907482154284,357176.8889880896,94,166,2,53.78,0,45.7,0.9808,0.2337,3/22/2021,0,60.6571,-171.43228,63,2.2,4,EBS,9,0.23827487765089722,23.82748776508972,272.16465554129223,4.196833547282841
2019,160.3,457.81,2019-29,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,54.56,0,48.7,0.6917,0.2422,3/22/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.3501517999132572,35.01517999132572,457.80144508670526,2.855904211395541
2019,75.08,301.03,2019-30,201901,S-24,0.0145410472330266,263874.80891232594,94,171,2,64,0,84.3,0.6515,0.1625,3/22/2021,0,61.00004,-172.80977,66,2.3,4,EBS,9,0.24942440521872603,24.9424405218726,301.0130461538461,4.0092307692307685
2019,NA,NA,2019-31,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,51.87,0,43.8,0.6212,0.1369,3/22/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.22037990985189954,22.037990985189953,NA,4.537618699780862
2019,NA,NA,2019-32,201901,S-24,0.0145410472330266,263874.80891232594,94,171,2,52.59,0,47.7,0.6538,0.1213,3/22/2021,0,61.00004,-172.80977,66,2.3,4,EBS,9,0.18553074334658917,18.553074334658916,NA,5.389942291838417
2019,54.59,339.81,2019-33,201901,R-22,0.0141907482154284,357176.8889880896,94,166,2,53.3,0,47.2,0.752,0.1208,3/24/2021,0,60.6571,-171.43228,63,2.2,4,EBS,9,0.16063829787234044,16.063829787234045,339.8317880794702,6.225165562913907
2019,50.07,330.37,2019-34,201901,R-22,0.0141907482154284,357176.8889880896,94,166,2,50.14,0,42.1,0.5384,0.0816,3/24/2021,0,60.6571,-171.43228,63,2.2,4,EBS,9,0.15156017830609214,15.156017830609214,330.3638235294117,6.598039215686274
2019,35.19,206.68,2019-35,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,53.3,0,49.4,0.5104,0.0869,3/24/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.1702586206896552,17.02586206896552,206.68556962025312,5.873417721518987
2019,20.89,202.84,2019-36,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,50.64,0,42.2,0.8331,0.0858,3/24/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.10298883687432482,10.298883687432483,202.83751748251746,9.709790209790208
2019,37.46,218.33,2019-37,201901,S-22,0.01444197857091,250671.82050055408,94,167,2,50.51,0,41.4,0.5345,0.0917,3/24/2021,0,60.99637,-171.47555,60,2.1,4,EBS,9,0.1715622076707203,17.156220767072032,218.34645583424208,5.8287895310796065
2019,140.31,474.67,2019-38,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,54.81,0,53.1,0.8248,0.2438,3/24/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.29558680892337535,29.558680892337534,474.6828876127974,3.3831009023789993
2019,39.28,264.06,2019-39,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,52.41,0,46.9,1.1113,0.1653,3/24/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.14874471339872222,14.874471339872223,264.0766122202057,6.722928009679371
2019,70.36,425.24,2019-40,201901,S-23,0.014252620501152,136558.0385615884,94,168,2,50.19,0,43.6,0.7065,0.1169,3/24/2021,0,61.00078,-172.16231,64,1.9,4,EBS,9,0.16546355272469923,16.546355272469924,425.22959794696317,6.043627031650984
