YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END
2023,AMJ_Chlorophylla_Biomass_SEBS_Satellite,0.92,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2022,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.55,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2021,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.03,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2020,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.24,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2019,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.49,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2018,AMJ_Chlorophylla_Biomass_SEBS_Satellite,2.04,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2017,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.66,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2016,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.43,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2015,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.75,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2014,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.52,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
2013,AMJ_Chlorophylla_Biomass_SEBS_Satellite,1.46,RACE Bottom Trawl Survey,AFSC RACEBASE,AMJ_Chlorophylla_Biomass_SEBS_Satellite,April-June average chlorophyll-a concentration aggregated within the Pribilofs and St. Matthew BSIERP regions on the north middle shelf of the EBS. This indicator was calculated with the ESA globcolour blended satellite product at a 4 km resolution using 8-day composite data. https://github.com/MattCallahan-NOAA/ESR-ESP.,Ecosystem,Lower Trophic,Matt Callahan,Annually,N,Eastern Bering Sea,Low this year,"Larval growth and survival is dependent on high concentrations of diatoms (Paul et al., 1979)","Paul et al., 1979, This study has been conducted using E.U. Copernicus Marine Service Information: doi 4e33fd81-d5cc-dc40-b645-ab961447d9d8",N,"Derived chlorophyll a concentration during spring and summer season (April, May, June) in the northern middle southeastern Bering Sea from the MODIS satellite",BS Snow Crab,2022,2022,NA,NA,1,1,Ug/L,4,NA,NA,NA
