year,model_recruit,imm_abund,beninvert_cpue,cp_extent,Mean_AO,bcs_imm,temp_occ_imm,Jan_ice,Pcod_consumption
1982,1358260,1031.814515,4.030993864,5094304,0.3882,NA,NA,0.216325959,NA
1983,1714550,739.5726672,4.045529187,4848892,-0.337966667,NA,NA,0.285092867,NA
1984,2784430,361.6273783,5.503893504,6571187,-0.594566667,NA,NA,0.098230886,NA
1985,1467400,229.961045,2.347123735,3874462,-1.231366667,NA,NA,0.05788125,747.4660327
1986,2954550,777.1626413,3.058854919,6215500,-0.513633333,NA,NA,0.158096592,863.5463105
1987,102164,2373.494767,5.336081177,5156860,-1.455766667,NA,NA,0.15426406,1062.347185
1988,184986,3090.29926,7.357300012,9154028,-0.332866667,NA,-0.220862673,0.197019272,328.9812788
1989,195307,1773.905731,6.517825287,3483086,2.638533333,0.023348924,1.959999159,0.320354213,746.0911598
1990,4594960,1350.364057,6.855496067,8477140,2.4641,0.009946079,-0.245433099,0.27995667,389.2948572
1991,1049520,1949.218831,6.729969781,7681556,-0.226533333,0.012036701,0.749096966,0.277082852,437.0411814
1992,256432,1357.795566,6.675661658,8352830,0.8853,0.013745594,0.276893861,0.307464338,220.1635521
1993,138648,3577.764407,6.300812224,4810396,1.4814,0.015422912,0.971276186,0.234386219,256.0082514
1994,88799,2790.986407,6.005405858,7196747,0.243866667,0.055268979,-1.07103034,0.249831207,850.9040747
1995,122861,3007.628561,7.392619192,7519552,0.5561,0.027054372,-0.572802239,0.310068823,528.4088221
1996,730101,1345.429844,6.425965116,4299121,-0.840133333,0.057090958,1.369071474,0.20532637,712.9188032
1997,600806,503.4095665,8.229652722,6296101,0.8409,0.026385487,0.511905437,0.225395193,803.9388733
1998,212750,461.3770136,6.260960555,4739820,-0.8394,0.083699942,1.474902328,0.339864233,472.4993234
1999,229135,271.6937318,4.772254419,6362266,-0.2997,0.015770763,-0.775310207,0.268424961,233.243812
2000,718988,834.1882164,6.26215262,6196653,0.631533333,0.027360799,0.123572083,0.459012575,539.6716909
2001,1251240,1153.127388,6.18063279,6611688,-1.089233333,0.033787169,0.457995841,0.109898026,807.3034788
2002,867671,422.1761939,7.141492699,3080482,1.1956,0.0556854,1.100608106,0.401438123,284.2615067
2003,1321250,955.552352,8.431315692,2563994,0.196366667,0.051825968,1.100401788,0.153737046,344.5528971
2004,291371,1700.087718,8.116485437,4095814,-0.9654,0.012487144,1.253183322,0.159457908,NA
2005,106022,2212.679053,9.013827156,2998277,-0.7541,0.03065036,1.380302237,0.114913338,449.5992717
2006,152660,722.6818145,8.54795884,7540003,-0.643366667,0.015701599,-0.940092509,0.412073225,140.5167807
2007,691020,1252.444724,7.338357157,9096685,0.636333333,0.004273214,-0.61847042,0.30888385,102.4181783
2008,338158,684.4249825,8.835266014,10962939,0.7809,0.018743026,-0.724870514,0.248485886,164.7946313
2009,167900,518.2038785,7.854002321,10426401,0.082933333,0.024029594,-0.976122203,0.385815212,129.1853664
2010,186471,1773.563196,8.613732513,8471526,-2.4282,0.038192975,-0.367074146,0.269687673,222.6648278
2011,308448,1947.954629,8.090870097,7136998,0.4388,0.09721122,0.660317837,0.243612958,311.2508012
2012,737533,1088.657823,8.702751325,12315913,0.260366667,0.015343128,-0.617185334,0.356236046,292.1965504
2013,1294170,727.5151184,8.781933758,10095977,-1.600766667,0.012134967,-0.561330241,0.287069028,481.1955639
2014,6242280,1292.285017,8.166086535,7358751,0.0936,0.010883163,1.545886503,0.164373513,1233.708201
2015,5580910,880.8735024,8.949914316,6059912,1.323866667,0.057726883,-0.58640329,0.067540079,1832.522374
2016,310152,1367.585216,9.299961074,4741023,-0.397333333,0.100850968,-0.030289588,0.089013363,2060.557489
2017,223090,3272.217813,10.49087004,7746518,0.882433333,0.047345059,-0.362894773,0.083904394,684.995472
2018,108012,8873.481397,7.662265552,434283,-0.369733333,0.032452936,3.299371419,0.049780291,1094.676234
2019,128136,1939.035662,8.079800642,1004505,0.8508,0.032688361,2.471914684,0.168015463,567.8780426
2020,NA,NA,NA,NA,2.825866667,NA,NA,0.161478563,NA
2021,NA,81.10698829,8.099564666,1778836,-0.5217,0.035554043,2.377950936,0.157105315,615.8990828
2022,NA,506.7591272,NA,4852902,0.8856,0.03087298,-0.426851829,0.271677037,NA
