REGION,STATION_ID,LONGITUDE,LATITUDE,STATION_TYPE
EBS,A-02,-166.93,55,STANDARD
EBS,A-03,-166.33,55,STANDARD
EBS,A-04,-165.75,55,STANDARD
EBS,A-05,-165.15,55,STANDARD
EBS,A-06,-164.58,55,STANDARD
EBS,B-01,-167.55,55.33,STANDARD
EBS,B-02,-166.97,55.33,STANDARD
EBS,B-03,-166.35,55.33,STANDARD
EBS,B-04,-165.78,55.33,STANDARD
EBS,B-05,-165.17,55.33,STANDARD
EBS,B-06,-164.58,55.33,STANDARD
EBS,B-07,-164,55.33,STANDARD
EBS,B-08,-163.42,55.33,STANDARD
EBS,C-01,-167.58,55.67,STANDARD
EBS,C-02,-166.98,55.67,STANDARD
EBS,C-03,-166.38,55.67,STANDARD
EBS,C-04,-165.8,55.67,STANDARD
EBS,C-05,-165.17,55.67,STANDARD
EBS,C-06,-164.58,55.67,STANDARD
EBS,C-07,-164,55.67,STANDARD
EBS,C-08,-163.4,55.67,STANDARD
EBS,C-09,-162.83,55.67,STANDARD
EBS,C-18,-168.18,55.67,STANDARD
EBS,D-01,-167.62,56,STANDARD
EBS,D-02,-167,56,STANDARD
EBS,D-03,-166.4,56,STANDARD
EBS,D-04,-165.78,56,STANDARD
EBS,D-05,-165.18,56,STANDARD
EBS,D-06,-164.58,56,STANDARD
EBS,D-07,-164,56,STANDARD
EBS,D-08,-163.4,56,STANDARD
EBS,D-09,-162.82,56,STANDARD
EBS,D-10,-162.23,56,STANDARD
EBS,D-18,-168.22,56,STANDARD
EBS,E-01,-167.65,56.33,STANDARD
EBS,E-02,-167.03,56.33,STANDARD
EBS,E-03,-166.42,56.33,STANDARD
EBS,E-04,-165.8,56.33,STANDARD
EBS,E-05,-165.2,56.33,STANDARD
EBS,E-06,-164.58,56.33,STANDARD
EBS,E-07,-164,56.33,STANDARD
EBS,E-08,-163.4,56.33,STANDARD
EBS,E-09,-162.8,56.33,STANDARD
EBS,E-10,-162.2,56.33,STANDARD
EBS,E-11,-161.62,56.33,STANDARD
EBS,E-12,-161,56.33,STANDARD
EBS,E-18,-168.25,56.33,STANDARD
EBS,E-19,-168.87,56.33,STANDARD
EBS,E-20,-169.47,56.33,STANDARD
EBS,E-21,-170.07,56.33,STANDARD
EBS,E-22,-170.68,56.33,STANDARD
EBS,F-01,-167.67,56.67,STANDARD
EBS,F-02,-167.07,56.67,STANDARD
EBS,F-03,-166.43,56.67,STANDARD
EBS,F-04,-165.83,56.67,STANDARD
EBS,F-05,-165.22,56.67,STANDARD
EBS,F-06,-164.6,56.67,STANDARD
EBS,F-07,-164,56.67,STANDARD
EBS,F-08,-163.38,56.67,STANDARD
EBS,F-09,-162.78,56.67,STANDARD
EBS,F-10,-162.18,56.67,STANDARD
EBS,F-11,-161.58,56.67,STANDARD
EBS,F-12,-160.98,56.67,STANDARD
EBS,F-13,-160.37,56.67,STANDARD
EBS,F-14,-159.75,56.67,STANDARD
EBS,F-18,-168.28,56.67,STANDARD
EBS,F-19,-168.9,56.67,STANDARD
EBS,F-20,-169.5,56.67,STANDARD
EBS,F-21,-170.12,56.67,STANDARD
EBS,F-22,-170.73,56.67,STANDARD
EBS,F-23,-171.35,56.67,STANDARD
