"YEAR","ABUNDANCE_MIL"
1982,694.45816506755
1983,489.830126639173
1984,224.319777633458
1985,104.726400067954
1986,356.958141550396
1987,1186.14792419754
1988,1512.39038267735
1989,1027.70662313592
1990,772.956659855106
1991,1023.09630672402
1992,566.677876503117
1993,1675.46647846417
1994,1516.69123688421
1995,1681.84470221794
1996,782.037914303234
1997,282.101707297554
1998,236.797915319795
1999,145.617196893639
2000,422.042575336144
2001,577.219571363723
2002,185.914412336651
2003,294.042908641096
2004,467.246623010707
2005,827.091973410755
2006,345.026094053175
2007,552.097791556904
2008,315.605018359306
2009,255.799995545434
2010,794.721145642007
2011,808.247537088334
2012,490.207473879015
2013,333.669291006192
2014,528.979598128589
2015,292.954930763608
2016,397.417834421762
2017,993.320060644075
2018,3048.59109933446
2019,746.675124316532
2021,32.5756053709585
2022,130.586941006197
2023,192.742417152561
