"","YEAR","immature_female","immature_male","mature_female","mature_male","pop"
"1",1988,60.7056002244209,60.1673583605541,59.4389514796012,58.8159775802976,59.8667623009507
"2",1989,59.882124330626,59.7114118053039,59.3483596705372,58.5275640378497,59.4676977293316
"3",1990,59.5102754477401,59.8997088013069,59.2344354117002,58.3371914923235,59.3789653839916
"4",1991,59.3830857434075,59.6250427833714,59.3893191982853,58.1599444197214,59.3870121065894
"5",1992,59.9006441368465,59.6685250188559,59.0087260735812,58.8497948814904,59.4690554347783
"6",1993,60.3779655765662,60.4921678781007,59.9738582567982,59.1267122242397,60.2851431929542
"7",1994,61.1114542661191,60.2529935728894,59.1930696831725,58.7400355227097,60.2065785859847
"8",1995,61.1177606325732,59.9687100495409,59.2524172155461,58.183149564035,59.7522862949133
"9",1996,61.5970598367589,59.9683836954161,59.4485460862599,57.9952821329632,59.6021563044707
"10",1997,61.4274054539398,59.8742053557286,59.7226065498796,58.0331308900127,59.626988201971
"11",1998,60.7611379673429,60.3535426365603,59.5378142203059,58.651957166689,59.7460639530538
"12",1999,60.5528944218799,60.1847241224413,59.5706897468262,58.6362380863558,59.7595434526001
"13",2000,60.679286017698,60.4499791155396,59.2075151834704,59.1294386217029,59.7647297460702
"14",2001,61.1298788337889,60.8464257928924,60.0155146154833,59.4984135114652,60.4960990699549
"15",2002,60.7975519808154,60.3414982583801,59.4066140448526,59.5247724177879,59.934856105207
"16",2003,60.8631770382099,61.0137578371841,58.9748758327885,59.4614850927128,60.3379693014367
"17",2004,59.0090887369355,59.927119648068,59.7386130815195,59.4311097514693,59.5080653125087
"18",2005,59.2680324641133,60.1403573387564,59.8011465336273,58.9403457177407,59.7298692062326
"19",2006,59.6343883296225,59.5164943439995,59.1961628302964,59.1069779972291,59.4197377631158
"20",2007,60.0576471641533,59.7630393265146,58.9948209251932,58.6400162824228,59.4555680853046
"21",2008,60.6890200232372,59.866953964606,58.9198771775127,58.619650302881,59.5415086426221
"22",2009,60.810176281854,60.3060893283339,59.0561976916892,58.1758372747439,60.0181173259342
"23",2010,60.9973736051772,60.9900022398434,60.1761857787959,58.8571338394406,60.6902684026161
"24",2011,60.4820089182595,60.6336493004822,59.9827259812259,58.6833109587169,60.1964054927606
"25",2012,59.7280819529811,60.0654535015593,59.478765227661,58.3534681015925,59.633461643315
"26",2013,59.358559718458,59.829154518827,59.3088921256087,58.1910663110664,59.3601767298235
"27",2014,58.734833883811,59.0053898375374,58.8522150256912,58.0228727434445,58.808351019502
"28",2015,59.9546953646526,59.9959125348446,58.4159628473142,58.6794223058787,59.4750915174393
"29",2016,60.9338944146991,61.0087774944546,58.5218230910878,58.9581725083129,60.5705199412691
"30",2017,60.9484002192196,60.7340532544505,59.799105455995,59.276240915774,60.5225431673996
"31",2018,60.7715072485496,60.4379874907567,59.7948088689448,59.3757295210898,60.268421907149
"32",2019,61.2698575388818,60.1971845079481,60.0821507683539,59.5917917673413,60.1205692202121
"33",2020,NA,NA,NA,NA,NA
"34",2021,60.1216258295963,59.7689763246472,59.5464422818134,59.7731040237374,59.6428676612783
"35",2022,60.9621946264297,61.0445626625598,60.3451127300709,59.7091379463716,60.8162415770298
"36",2023,59.9804824958141,60.5404461938344,60.7140133226013,59.3704328950089,60.3150783454823
"37",2024,59.0260411283816,59.6781484189008,59.5339404375789,58.9687941312308,59.3038805952852
