"","YEAR","immature_female","immature_male","mature_female","mature_male","pop"
"1",1988,20451,32882,22857,34085,35689
"2",1989,16040,38897,21253,42506,40902
"3",1990,12030,39699,23258,35689,41303
"4",1991,17243,35689,18045,42907,40902
"5",1992,18045,25263,24461,47719,36892
"6",1993,18045,26867,23659,45313,32882
"7",1994,16842,31278,32882,43308,35689
"8",1995,14035,42105,30075,33283,42907
"9",1996,9223,46115,22857,38095,46516
"10",1997,6015,53333,16040,43709,48120
"11",1998,11629,55338,13233,52932,46516
"12",1999,20451,58947,17644,60952,52531
"13",2000,17243,32481,13233,58546,27268
"14",2001,15238,28471,12832,57744,28471
"15",2002,9223,30075,11629,39699,28872
"16",2003,8421,16842,9223,38897,18446
"17",2004,10426,17243,13634,37694,20050
"18",2005,11629,22456,12832,40902,23659
"19",2006,9624,26867,16441,33684,26466
"20",2007,13634,32882,21253,38496,34887
"21",2008,18847,36491,24461,44912,41704
"22",2009,16040,41303,21253,42105,40501
"23",2010,17644,25664,20852,38496,28471
"24",2011,20050,30476,23659,38095,33684
"25",2012,18847,38496,23258,38897,37293
"26",2013,18446,40100,19248,36491,36491
"27",2014,12431,35689,14837,36892,34486
"28",2015,10827,23659,16441,39298,26065
"29",2016,7619,13233,15238,42907,17644
"30",2017,12832,16842,17243,36892,19649
"31",2018,11228,20050,14035,28070,22055
"32",2019,6015,23258,14035,27669,24461
"33",2021,17243,43709,5213,42907,30877
"34",2022,10025,20852,9223,44511,18045
"35",2023,16040,18847,14837,36090,20451
