YEAR,summer_bt,cpa,Mean_AO
1980,2.7239583333333335,44110,-1.4776666666666667
1981,3.601655629139073,18847,-0.6976666666666667
1982,2.2439169139465873,52531,0.38833333333333336
1983,2.98974358974359,37293,-0.338
1984,2.2280346820809247,51729,-0.5946666666666667
1985,2.319677419354839,42907,-1.2316666666666667
1986,1.7909883720930233,62155,-0.5136666666666666
1987,3.137784090909091,21253,-1.4556666666666667
1988,2.136684782608696,56942,-0.33266666666666667
1989,2.884764542936288,29674,2.638333333333333
1990,2.097068403908795,45313,2.4643333333333333
1991,2.4874626865671643,40501,-0.22666666666666668
1992,1.6310126582278481,60551,0.8853333333333334
1993,2.8414414414414413,35288,1.481
1994,1.6144827586206896,54135,0.24366666666666667
1995,1.524715909090909,71378,0.556
1996,3.28121546961326,27669,-0.84
1997,2.6290960451977403,43308,0.841
1998,3.113714285714286,25664,-0.8393333333333333
1999,0.7126801152737752,99047,-0.3
2000,2.007780979827089,59749,0.6316666666666667
2001,2.451388888888889,45313,-1.0893333333333333
2002,3.083835616438356,25664,1.1956666666666667
2003,3.6836512261580383,13233,0.19633333333333336
2004,3.228142076502732,24461,-0.9653333333333334
2005,3.258092485549133,23258,-0.7543333333333333
2006,1.6663072776280323,68170,-0.6433333333333333
2007,1.5826666666666667,78997,0.6363333333333333
2008,1.1016042780748663,96240,0.7809999999999999
2009,1.1957333333333333,89824,0.083
2010,1.3386666666666667,74987,-2.4283333333333332
2011,2.312,45714,0.4386666666666666
2012,0.8268096514745308,103057,0.2603333333333333
2013,1.6370666666666667,72982,-1.6006666666666667
2014,3.018666666666667,36491,0.09366666666666666
2015,3.1336,34486,1.324
2016,4.210666666666667,25664,-0.39766666666666667
2017,2.6528,48120,0.8823333333333333
2018,4.159466666666667,1604,-0.36966666666666664
2019,4.354133333333333,8020,0.8506666666666667
2021,3.369066666666667,18446,-0.522
2022,2.4816,49724,0.899
2023,2.2439999999999998,48922,0.402
1979,NA,NA,-1.248
2020,NA,NA,2.8256666666666668
